OrderId,Product,QuantityOrdered,PriceEach,OrderDate,CityStore,Category,OrderStatus
312374,Wired Headphones,5,11.99,2019-12-27 17:30:00,Dallas,Headphones,Cancelled
206737,Wired Headphones,5,11.99,2019-05-08 13:21:00,Dallas,Headphones,Completed
175407,Google Phone,20,60000.0,2019-03-16 10:58:00,San Francisco,Phone,Completed
263350,Wired Headphones,12,11.99,2019-10-23 12:08:00,Los Angeles,Headphones,Completed
315119,Google Phone,15,60000.0,2019-12-17 23:52:00,New York City,Phone,Cancelled
158359,AAA Batteries (4-pack),9,2.99,2019-02-06 9:25:00,Boston,Batteries,Completed
204891,Apple Airpods Headphones,12,15000.0,2019-05-14 17:12:00,Los Angeles,Headphones,In Progress
314208,ThinkPad Laptop,8,999.99,2019-12-15 12:13:00,New York City,Laptop,Completed
240008,AA Batteries (4-pack),12,3.84,2019-08-28 7:35:00,Los Angeles,Batteries,Completed
142365,Bose SoundSport Headphones,8,99.99,2019-01-15 11:36:00,Boston,Headphones,In Progress
234896,Apple Airpods Headphones,4,15000.0,2019-07-13 21:02:00,New York City,Headphones,Completed
219304,Bose SoundSport Headphones,4,99.99,2019-06-09 10:46:00,San Francisco,Headphones,Completed
164001,AA Batteries (4-pack),8,3.84,2019-03-09 7:35:00,New York City,Batteries,Cancelled
251938,iPhone,10,70000.0,2019-09-17 22:20:00,New York City,Phone,Completed
210914,Apple Airpods Headphones,20,15000.0,2019-06-27 10:34:00,Los Angeles,Headphones,In Progress
234902,Lightning Charging Cable,4,14.95,2019-07-09 13:03:00,San Francisco,Cable,Cancelled
166475,ThinkPad Laptop,15,999.99,2019-03-19 10:03:00,Dallas,Laptop,Completed
269784,20in Monitor,16,109.99,2019-10-11 16:17:00,Boston,Monitor,Completed
245272,USB-C Charging Cable,12,11.95,2019-08-23 20:13:00,San Francisco,Cable,Completed
155349,Bose SoundSport Headphones,1,99.99,2019-02-20 16:27:00,Los Angeles,Headphones,Completed
311719,AA Batteries (4-pack),16,3.84,2019-12-09 20:42:00,Los Angeles,Batteries,Completed
287862,iPhone,10,70000.0,2019-11-26 13:19:00,Boston,Phone,Completed
247898,Wired Headphones,6,11.99,2019-08-19 19:48:00,Boston,Headphones,Completed
310537,iPhone,4,70000.0,2019-12-23 17:47:00,Boston,Phone,Completed
165430,AA Batteries (4-pack),4,3.84,2019-03-21 22:41:00,Los Angeles,Batteries,In Progress
232937,Wired Headphones,6,11.99,2019-07-12 22:06:00,Dallas,Headphones,Completed
205537,Wired Headphones,20,11.99,2019-05-08 14:39:00,Los Angeles,Headphones,Completed
157189,Flatscreen TV,12,30000.0,2019-02-23 18:44:00,Los Angeles,TV,Cancelled
191002,Wired Headphones,8,11.99,2019-04-02 19:58:00,San Francisco,Headphones,Completed
